"date_time","value"
"03/09/2018 00:00:00","36.48"
"02/09/2018 23:30:00","34.75"
"02/09/2018 23:00:00","29.33"
"02/09/2018 22:30:00","29.6"
"02/09/2018 22:00:00","31.17"
"02/09/2018 21:30:00","30.18"
"02/09/2018 21:00:00","33.38"
"02/09/2018 20:30:00","30.2"
"02/09/2018 20:00:00","34.74"
"02/09/2018 19:30:00","31.01"
"02/09/2018 19:00:00","26.13"
"02/09/2018 18:30:00","26.29"
"02/09/2018 18:00:00","33.05"
"02/09/2018 17:30:00","31.37"
"02/09/2018 17:00:00","31.17"
"02/09/2018 16:30:00","30.28"
"02/09/2018 16:00:00","31.23"
"02/09/2018 15:30:00","26.6"
"02/09/2018 15:00:00","27.64"
"02/09/2018 14:30:00","25.6"
"02/09/2018 14:00:00","25.75"
"02/09/2018 13:30:00","27.46"
"02/09/2018 13:00:00","28.59"
"02/09/2018 12:30:00","29.38"
"02/09/2018 12:00:00","40.98"
"02/09/2018 11:30:00","36.63"
"02/09/2018 11:00:00","29.51"
"02/09/2018 10:30:00","27.74"
"02/09/2018 10:00:00","28.48"
"02/09/2018 09:30:00","27.79"
"02/09/2018 09:00:00","29.05"
"02/09/2018 08:30:00","28.11"
"02/09/2018 08:00:00","33.57"
"02/09/2018 07:30:00","31.72"
"02/09/2018 07:00:00","30.61"
"02/09/2018 06:30:00","32.3"
"02/09/2018 06:00:00","28.56"
"02/09/2018 05:30:00","30.47"
"02/09/2018 05:00:00","30.57"
"02/09/2018 04:30:00","29.99"
"02/09/2018 04:00:00","30.57"
"02/09/2018 03:30:00","26.02"
"02/09/2018 03:00:00","33.86"
"02/09/2018 02:30:00","38.31"
"02/09/2018 02:00:00","37.48"
"02/09/2018 01:30:00","34.76"
"02/09/2018 01:00:00","31.44"
"02/09/2018 00:30:00","28.87"
"02/09/2018 00:00:00","35.17"
"01/09/2018 23:30:00","34.5"
"01/09/2018 23:00:00","30.04"
"01/09/2018 22:30:00","24.05"
"01/09/2018 22:00:00","26.98"
"01/09/2018 21:30:00","32.48"
"01/09/2018 21:00:00","30.72"
"01/09/2018 20:30:00","29.04"
"01/09/2018 20:00:00","33.17"
"01/09/2018 19:30:00","27.13"
"01/09/2018 19:00:00","24.21"
"01/09/2018 18:30:00","30.58"
"01/09/2018 18:00:00","31.93"
"01/09/2018 17:30:00","29.37"
"01/09/2018 17:00:00","31.01"
"01/09/2018 16:30:00","25.3"
"01/09/2018 16:00:00","35.17"
"01/09/2018 15:30:00","30.16"
"01/09/2018 15:00:00","29.28"
"01/09/2018 14:30:00","28.76"
"01/09/2018 14:00:00","29.08"
"01/09/2018 13:30:00","29.01"
"01/09/2018 13:00:00","29.31"
"01/09/2018 12:30:00","31.31"
"01/09/2018 12:00:00","37.29"
"01/09/2018 11:30:00","33.75"
"01/09/2018 11:00:00","31.09"
"01/09/2018 10:30:00","35.28"
"01/09/2018 10:00:00","33.39"
"01/09/2018 09:30:00","33.18"
"01/09/2018 09:00:00","34.09"
"01/09/2018 08:30:00","32.68"
"01/09/2018 08:00:00","33.59"
"01/09/2018 07:30:00","22.98"
"01/09/2018 07:00:00","23.19"
"01/09/2018 06:30:00","23.55"
"01/09/2018 06:00:00","23.84"
"01/09/2018 05:30:00","26.93"
"01/09/2018 05:00:00","26.9"
"01/09/2018 04:30:00","26.03"
"01/09/2018 04:00:00","28.77"
"01/09/2018 03:30:00","31.61"
"01/09/2018 03:00:00","36.72"
"01/09/2018 02:30:00","35.17"
"01/09/2018 02:00:00","39.07"
"01/09/2018 01:30:00","41.01"
"01/09/2018 01:00:00","39.5"
"01/09/2018 00:30:00","36.34"
"01/09/2018 00:00:00","36.81"
"31/08/2018 23:30:00","37.64"
"31/08/2018 23:00:00","37.98"
"31/08/2018 22:30:00","31.22"
"31/08/2018 22:00:00","29.44"
"31/08/2018 21:30:00","26.33"
"31/08/2018 21:00:00","33.12"
"31/08/2018 20:30:00","28.63"
"31/08/2018 20:00:00","27.55"
"31/08/2018 19:30:00","29.77"
"31/08/2018 19:00:00","25.69"
"31/08/2018 18:30:00","28.72"
"31/08/2018 18:00:00","26"
"31/08/2018 17:30:00","26.43"
"31/08/2018 17:00:00","30.23"
"31/08/2018 16:30:00","33.52"
"31/08/2018 16:00:00","31.07"
"31/08/2018 15:30:00","34.11"
"31/08/2018 15:00:00","29.94"
"31/08/2018 14:30:00","34.66"
"31/08/2018 14:00:00","34.51"
"31/08/2018 13:30:00","40.72"
"31/08/2018 13:00:00","38.04"
"31/08/2018 12:30:00","36.48"
"31/08/2018 12:00:00","39.78"
"31/08/2018 11:30:00","34.8"
"31/08/2018 11:00:00","32.1"
"31/08/2018 10:30:00","39.2"
"31/08/2018 10:00:00","47.59"
"31/08/2018 09:30:00","42.49"
"31/08/2018 09:00:00","46.59"
"31/08/2018 08:30:00","44.69"
"31/08/2018 08:00:00","37.86"
"31/08/2018 07:30:00","34.1"
"31/08/2018 07:00:00","37.18"
"31/08/2018 06:30:00","33.6"
"31/08/2018 06:00:00","31.86"
"31/08/2018 05:30:00","27.08"
"31/08/2018 05:00:00","29.42"
"31/08/2018 04:30:00","28.66"
"31/08/2018 04:00:00","29.24"
"31/08/2018 03:30:00","24.56"
"31/08/2018 03:00:00","32.18"
"31/08/2018 02:30:00","26.15"
"31/08/2018 02:00:00","28.87"
"31/08/2018 01:30:00","29.08"
"31/08/2018 01:00:00","31.04"
"31/08/2018 00:30:00","25.28"
"31/08/2018 00:00:00","31.06"
"30/08/2018 23:30:00","29.79"
"30/08/2018 23:00:00","31.01"
"30/08/2018 22:30:00","28.01"
"30/08/2018 22:00:00","30.29"
"30/08/2018 21:30:00","32.65"
"30/08/2018 21:00:00","30.95"
"30/08/2018 20:30:00","29.65"
"30/08/2018 20:00:00","29.04"
"30/08/2018 19:30:00","32.86"
